title	url	release_date	genre_count	genre	rating	keywords	budget	revenue
Venom: Let There Be Carnage	https://www.themoviedb.org/movie/580489	Sep 30, 2021	2	Science Fiction,Action	72.0	9	 110,000,000.00	 191,000,000.00
Free Guy	https://www.themoviedb.org/movie/550988	Aug 11, 2021	4	Comedy,Action,Adventure,Science Fiction	78.0	10	 110,000,000.00	 324,000,000.00
Venom	https://www.themoviedb.org/movie/335983	Sep 28, 2018	2	Science Fiction,Action	68.0	13	 116,000,000.00	 855,013,954.00
Snake Eyes: G.I. Joe Origins	https://www.themoviedb.org/movie/568620	Jul 22, 2021	2	Action,Adventure	69.0	13	 88,000,000.00	 36,964,325.00
Deathstroke: Knights & Dragons - The Movie	https://www.themoviedb.org/movie/703771	Aug 04, 2020	4	Animation,Action,Adventure,Science Fiction	69.0	6	 -	 -
The Addams Family 2	https://www.themoviedb.org/movie/639721	Oct 01, 2021	3	Animation,Comedy,Family	76.0	2	 -	 35,000,000.00
Cosmic Sin	https://www.themoviedb.org/movie/681887	Mar 12, 2021	1	Science Fiction	45.0	9	 20,000,000.00	 -
The Many Saints of Newark	https://www.themoviedb.org/movie/524369	Sep 22, 2021	2	Crime,Drama	67.0	10	 -	 7,300,000.00
The Last Warrior: Root of Evil	https://www.themoviedb.org/movie/589754	Jan 01, 2021	3	Fantasy,Adventure,Comedy	72.0	2	 8,400,000.00	 27,658,331.00
The Seven Deadly Sins: Cursed by Light	https://www.themoviedb.org/movie/843241	Jul 02, 2021	2	Animation,Action	84.0	3	 -	 -
The Stronghold	https://www.themoviedb.org/movie/637534	Aug 18, 2021	2	Crime,Thriller	77.0	2	 14,479,740.00	 -
Dragon Fury	https://www.themoviedb.org/movie/839436	Jun 15, 2021	3	Horror,Fantasy,Mystery	56.0	2	 -	 -
Solitary	https://www.themoviedb.org/movie/725273	Sep 24, 2021	1	Science Fiction	66.0	0	 -	 -
Shang-Chi and the Legend of the Ten Rings	https://www.themoviedb.org/movie/566525	Sep 01, 2021	3	Action,Adventure,Fantasy	78.0	6	 150,000,000.00	 401,000,000.00
The Suicide Squad	https://www.themoviedb.org/movie/436969	Jul 28, 2021	3	Action,Adventure,Fantasy	78.0	17	 180,000,000.00	 167,381,210.00
Crazy Fist	https://www.themoviedb.org/movie/859041	May 25, 2017	1	Action	76.0	0	 -	 -
F9	https://www.themoviedb.org/movie/385128	May 19, 2021	3	Action,Crime,Thriller	74.0	5	 200,000,000.00	 716,000,000.00
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train	https://www.themoviedb.org/movie/635302	Oct 16, 2020	4	Animation,Action,Adventure,Fantasy	84.0	17	 15,800,000.00	 503,063,688.00
Jungle Cruise	https://www.themoviedb.org/movie/451048	Jul 28, 2021	4	Adventure,Fantasy,Comedy,Action	78.0	5	 200,000,000.00	 209,000,000.00
Catch the Bullet	https://www.themoviedb.org/movie/859860	Sep 10, 2021	2	Western,Action	56.0	0	 -	 -
The Boss Baby: Family Business	https://www.themoviedb.org/movie/459151	Jul 01, 2021	4	Animation,Comedy,Adventure,Family	77.0	3	 82,000,000.00	 112,000,000.00
Old	https://www.themoviedb.org/movie/631843	Jul 21, 2021	3	Horror,Mystery,Thriller	67.0	4	 18,000,000.00	 89,500,000.00
PAW Patrol: The Movie	https://www.themoviedb.org/movie/675445	Aug 09, 2021	4	Animation,Family,Adventure,Comedy	78.0	0	 26,000,000.00	 121,000,000.00
LEGO Star Wars Terrifying Tales	https://www.themoviedb.org/movie/857702	Oct 01, 2021	5	Animation,Family,Science Fiction,Comedy,Horror	69.0	0	 -	 -
Black Widow	https://www.themoviedb.org/movie/497698	Jul 07, 2021	3	Action,Adventure,Science Fiction	77.0	11	 200,000,000.00	 378,328,978.00
After We Fell	https://www.themoviedb.org/movie/744275	Sep 01, 2021	2	Romance,Drama	80.0	6	 14,000,000.00	 19,000,000.00
Kate	https://www.themoviedb.org/movie/597891	Sep 10, 2021	2	Action,Thriller	68.0	8	 -	 -
Luca	https://www.themoviedb.org/movie/508943	Jun 17, 2021	4	Animation,Comedy,Family,Fantasy	80.0	13	 200,000,000.00	 47,400,000.00
Rogue Hostage	https://www.themoviedb.org/movie/825997	Jun 11, 2021	2	Action,Thriller	66.0	0	 -	 -
My Little Pony: A New Generation	https://www.themoviedb.org/movie/597316	Sep 23, 2021	6	Animation,Family,Fantasy,Comedy,Music,Adventure	80.0	3	 -	 -
Space Jam: A New Legacy	https://www.themoviedb.org/movie/379686	Jul 08, 2021	4	Animation,Comedy,Family,Science Fiction	73.0	5	 161,900,000.00	 148,810,604.00
SAS: Red Notice	https://www.themoviedb.org/movie/595743	Aug 11, 2021	3	Drama,Action,Thriller	60.0	0	 -	 -
Demonic	https://www.themoviedb.org/movie/774021	Jul 29, 2021	2	Horror,Thriller	52.0	5	 -	 -
Sweet Girl	https://www.themoviedb.org/movie/619297	Aug 18, 2021	1	Action	69.0	13	 -	 -
Jurassic Hunt	https://www.themoviedb.org/movie/848278	Aug 26, 2021	3	Action,Science Fiction,Thriller	50.0	0	 -	 -
Redemption Day	https://www.themoviedb.org/movie/767304	Jan 08, 2021	1	Action	67.0	2	 -	 -
Mortal Kombat	https://www.themoviedb.org/movie/460465	Apr 07, 2021	3	Action,Fantasy,Adventure	73.0	10	 20,000,000.00	 83,601,013.00
How I Became a Superhero	https://www.themoviedb.org/movie/641501	Nov 19, 2020	7	Science Fiction,Adventure,Mystery,Action,Thriller,Fantasy,Comedy	61.0	2	 18,000,000.00	 -
